MSOA,Local Authority,Construction,Wholesale (including motor trades),Retail (excluding motor trades),Accommodation and Food Service activities,Information and communication,Head Office and Management Consultancy activities,"Professional, Scientific and Technical Activities (excluding Head Office and Management Consultancy activities)",Administrative and Support Service activities,Human Health and Social Work activities,,,,,,,,,,
E02000455,Harrow,105,80,120,85,180,100,180,175,60,,,,,,,,,,
E02000456,Harrow,30,10,15,5,55,25,40,30,20,,,,,,,,,,
E02000457,Harrow,60,35,50,15,105,55,85,50,30,,,,,,,,,,
E02000459,Harrow,50,45,30,20,60,35,55,45,20,,,,,,,,,,
E02000460,Harrow,20,15,10,5,60,15,20,15,20,,,,,,,,,,
E02000461,Harrow,70,25,40,20,65,50,85,40,35,,,,,,,,,,
E02000462,Harrow,25,20,55,25,35,15,35,25,10,,,,,,,,,,
E02000463,Harrow,30,15,25,10,40,15,25,20,15,,,,,,,,,,
E02006795,Harrow,55,20,25,20,110,25,50,20,15,,,,,,,,,,
E02006882,Harrow,125,50,80,20,95,55,110,50,35,,,,,,,,,,
E02000464,Havering,55,20,10,5,10,10,10,15,15,,,,,,,,,,
E02000465,Havering,65,10,15,10,25,15,25,25,30,,,,,,,,,,
E02000466,Havering,65,15,15,5,5,15,25,20,15,,,,,,,,,,
E02000467,Havering,85,25,50,15,15,15,20,25,25,,,,,,,,,,
E02000468,Havering,85,20,30,25,5,5,20,25,25,,,,,,,,,,
E02000469,Havering,35,10,20,10,20,5,10,15,20,,,,,,,,,,
E02000470,Havering,105,55,50,20,50,40,35,50,35,,,,,,,,,,
E02000471,Havering,90,10,25,5,15,20,20,15,10,,,,,,,,,,
E02000472,Havering,75,25,20,10,25,15,20,15,20,,,,,,,,,,
E02000473,Havering,90,25,25,15,40,15,30,30,20,,,,,,,,,,
E02000474,Havering,60,25,20,10,25,20,20,30,20,,,,,,,,,,
E02000475,Havering,95,15,30,25,35,30,60,35,25,,,,,,,,,,
E02000476,Havering,100,55,250,115,75,30,75,115,85,,,,,,,,,,
E02000477,Havering,95,15,20,10,45,20,50,30,15,,,,,,,,,,
E02000478,Havering,80,25,20,10,20,20,35,25,35,,,,,,,,,,
E02000479,Havering,85,50,40,25,35,35,50,45,25,,,,,,,,,,
E02000480,Havering,115,45,25,20,35,30,40,40,55,,,,,,,,,,
E02000481,Havering,65,25,25,10,10,20,25,25,20,,,,,,,,,,
E02000482,Havering,40,15,20,15,45,30,40,30,25,,,,,,,,,,
E02000483,Havering,90,30,75,50,15,25,40,40,35,,,,,,,,,,
E02000484,Havering,90,25,30,10,30,20,25,25,25,,,,,,,,,,
E02000485,Havering,75,20,70,60,45,25,35,45,15,,,,,,,,,,
E02000486,Havering,55,10,35,20,20,10,25,15,15,,,,,,,,,,
E02000487,Havering,65,10,15,10,40,35,40,35,10,,,,,,,,,,
E02000488,Havering,55,5,5,5,20,10,25,15,15,,,,,,,,,,
E02000489,Havering,45,10,20,15,20,15,15,20,25,,,,,,,,,,
E02000490,Havering,45,5,15,10,15,10,15,25,25,,,,,,,,,,
E02000491,Havering,105,85,25,20,30,15,35,65,20,,,,,,,,,,
E02000492,Havering,70,75,15,5,15,10,20,40,15,,,,,,,,,,
E02000493,Havering,45,10,25,25,20,5,20,20,20,,,,,,,,,,
E02000494,Hillingdon,40,25,15,10,70,75,55,40,40,,,,,,,,,,
E02000495,Hillingdon,100,45,70,55,110,70,80,55,45,,,,,,,,,,
E02000496,Hillingdon,70,30,25,20,30,25,40,40,25,,,,,,,,,,
E02000497,Hillingdon,60,20,15,20,100,45,45,30,25,,,,,,,,,,
E02000498,Hillingdon,50,15,10,10,40,20,35,20,10,,,,,,,,,,
E02000499,Hillingdon,45,30,40,25,100,50,75,50,25,,,,,,,,,,
E02000500,Hillingdon,70,45,110,60,85,55,70,50,30,,,,,,,,,,
E02000501,Hillingdon,70,15,25,20,70,45,55,45,35,,,,,,,,,,
E02000502,Hillingdon,60,20,20,20,50,30,30,30,15,,,,,,,,,,
E02000503,Hillingdon,70,35,15,5,60,30,40,25,10,,,,,,,,,,
E02000504,Hillingdon,65,10,15,10,60,35,50,30,10,,,,,,,,,,
E02000506,Hillingdon,95,20,20,20,85,35,40,30,25,,,,,,,,,,
E02000507,Hillingdon,55,5,25,10,45,15,30,30,10,,,,,,,,,,
E02000508,Hillingdon,55,25,100,55,85,35,60,65,40,,,,,,,,,,
E02000509,Hillingdon,115,110,105,50,70,75,100,290,100,,,,,,,,,,
E02000510,Hillingdon,70,35,30,15,45,30,30,25,50,,,,,,,,,,
E02000511,Hillingdon,50,20,25,15,35,15,25,35,20,,,,,,,,,,
E02000512,Hillingdon,55,15,20,10,25,15,30,20,15,,,,,,,,,,
E02000513,Hillingdon,50,10,20,20,20,10,15,10,25,,,,,,,,,,
E02000514,Hillingdon,65,25,65,30,20,15,30,45,15,,,,,,,,,,
E02000515,Hillingdon,60,50,50,25,50,20,30,45,35,,,,,,,,,,
E02000516,Hillingdon,40,15,25,10,20,20,15,25,15,,,,,,,,,,
E02000517,Hillingdon,55,15,30,10,35,15,25,15,25,,,,,,,,,,
E02000518,Hillingdon,45,60,25,15,35,15,20,35,20,,,,,,,,,,
E02000519,Hillingdon,40,45,50,20,35,10,20,25,25,,,,,,,,,,
E02000520,Hillingdon,100,165,110,50,120,55,80,110,45,,,,,,,,,,
E02000521,Hillingdon,45,20,20,10,70,30,30,30,15,,,,,,,,,,
E02000522,Hillingdon,45,20,35,20,35,20,35,30,30,,,,,,,,,,
E02000523,Hillingdon,50,45,45,25,70,30,35,45,20,,,,,,,,,,
E02000524,Hillingdon,75,45,135,140,55,25,30,140,20,,,,,,,,,,
E02000525,Hillingdon,45,20,25,25,20,10,15,45,10,,,,,,,,,,
E02006796,Hillingdon,80,65,55,40,55,35,40,45,15,,,,,,,,,,
E02000526,Hounslow,40,30,80,45,135,135,105,60,30,,,,,,,,,,
E02000528,Hounslow,50,60,50,40,120,45,75,60,25,,,,,,,,,,
E02000529,Hounslow,30,15,35,15,50,10,20,20,15,,,,,,,,,,
E02000530,Hounslow,25,110,25,20,20,10,15,35,10,,,,,,,,,,
E02000531,Hounslow,95,75,50,40,145,75,75,85,30,,,,,,,,,,
E02000532,Hounslow,30,20,30,25,90,85,85,50,25,,,,,,,,,,
E02000533,Hounslow,25,15,20,20,105,85,80,50,25,,,,,,,,,,
E02000534,Hounslow,70,65,40,35,130,50,60,60,30,,,,,,,,,,
E02000535,Hounslow,45,20,25,10,70,20,25,25,20,,,,,,,,,,
E02000536,Hounslow,40,35,35,20,95,35,30,40,35,,,,,,,,,,
E02000537,Hounslow,35,15,25,20,135,45,45,35,25,,,,,,,,,,
E02000538,Hounslow,40,35,25,25,45,20,25,50,20,,,,,,,,,,
E02000539,Hounslow,50,45,40,35,95,40,55,60,35,,,,,,,,,,
E02000540,Hounslow,50,35,80,40,135,30,50,45,40,,,,,,,,,,
E02000541,Hounslow,45,35,45,25,95,20,20,40,30,,,,,,,,,,
E02000542,Hounslow,35,40,40,30,130,30,50,60,35,,,,,,,,,,
E02000543,Hounslow,45,50,155,75,220,65,95,65,60,,,,,,,,,,
E02000544,Hounslow,60,10,20,5,70,15,30,25,20,,,,,,,,,,
E02000545,Hounslow,35,20,30,25,45,45,40,40,25,,,,,,,,,,
E02000546,Hounslow,30,20,30,15,75,10,30,30,15,,,,,,,,,,
E02000547,Hounslow,50,55,25,25,45,20,35,65,15,,,,,,,,,,
E02000548,Hounslow,50,35,25,20,45,15,15,40,20,,,,,,,,,,
E02000549,Hounslow,60,10,30,25,75,45,25,40,25,,,,,,,,,,
E02000550,Hounslow,40,15,50,15,120,30,30,35,25,,,,,,,,,,
E02000551,Hounslow,65,55,30,15,30,15,30,40,20,,,,,,,,,,
E02000552,Hounslow,60,45,20,20,45,10,25,40,15,,,,,,,,,,
E02000553,Hounslow,40,15,15,5,25,15,15,15,15,,,,,,,,,,
E02006792,Hounslow,105,75,130,90,275,170,245,175,65,,,,,,,,,,
E02000554,Islington,25,20,25,10,60,30,60,35,30,,,,,,,,,,
E02000555,Islington,25,25,25,20,85,50,65,30,35,,,,,,,,,,
E02000556,Islington,35,25,50,70,80,50,85,45,40,,,,,,,,,,
E02000557,Islington,30,15,40,55,70,25,55,40,45,,,,,,,,,,
E02000558,Islington,25,15,50,20,30,15,40,25,25,,,,,,,,,,
E02000559,Islington,25,5,40,45,110,70,105,40,20,,,,,,,,,,
E02000560,Islington,20,20,115,55,65,35,85,30,45,,,,,,,,,,
E02000561,Islington,20,10,10,10,90,50,75,30,15,,,,,,,,,,
E02000562,Islington,15,20,20,15,80,55,95,40,15,,,,,,,,,,
E02000563,Islington,15,5,20,20,55,25,40,20,30,,,,,,,,,,
E02000564,Islington,25,15,35,35,110,55,120,50,45,,,,,,,,,,
E02000565,Islington,15,15,30,30,75,40,70,25,40,,,,,,,,,,
E02000566,Islington,25,20,45,60,95,75,120,60,40,,,,,,,,,,
E02000567,Islington,20,15,35,25,125,75,125,40,30,,,,,,,,,,
E02000568,Islington,35,40,35,30,120,60,115,70,40,,,,,,,,,,
E02000569,Islington,35,10,45,45,80,70,115,55,35,,,,,,,,,,
E02000570,Islington,20,10,60,40,95,95,125,45,15,,,,,,,,,,
E02000571,Islington,25,10,40,25,80,60,105,40,20,,,,,,,,,,
E02000572,Islington,25,10,20,20,35,25,35,30,30,,,,,,,,,,
E02000573,Islington,85,50,160,130,190,125,235,150,60,,,,,,,,,,
E02000574,Islington,50,30,70,95,160,100,145,85,45,,,,,,,,,,
E02000575,Islington,250,200,265,260,905,665,"1,045",580,155,,,,,,,,,,
E02000576,Islington,180,150,195,150,795,400,510,465,95,,,,,,,,,,
E02000577,Kensington and Chelsea,35,40,80,50,90,55,110,50,50,,,,,,,,,,
E02000578,Kensington and Chelsea,20,15,20,10,40,20,30,25,35,,,,,,,,,,
E02000579,Kensington and Chelsea,30,35,30,10,85,60,90,50,30,,,,,,,,,,
E02000580,Kensington and Chelsea,20,25,135,60,95,50,95,55,40,,,,,,,,,,
E02000581,Kensington and Chelsea,15,15,20,10,40,35,40,35,30,,,,,,,,,,
E02000582,Kensington and Chelsea,45,30,140,50,80,90,115,85,30,,,,,,,,,,
E02000583,Kensington and Chelsea,30,10,90,35,50,95,115,70,25,,,,,,,,,,
E02000584,Kensington and Chelsea,60,45,140,75,110,150,130,135,25,,,,,,,,,,
E02000585,Kensington and Chelsea,25,20,30,20,70,65,65,80,20,,,,,,,,,,
E02000586,Kensington and Chelsea,45,30,80,75,95,120,120,140,40,,,,,,,,,,
E02000587,Kensington and Chelsea,45,30,90,55,70,100,80,100,40,,,,,,,,,,
E02000588,Kensington and Chelsea,110,80,385,105,50,135,130,160,60,,,,,,,,,,
E02000589,Kensington and Chelsea,45,30,40,80,55,85,75,80,55,,,,,,,,,,
E02000590,Kensington and Chelsea,20,35,135,70,50,95,75,110,30,,,,,,,,,,
E02000591,Kensington and Chelsea,25,15,25,60,45,45,55,40,25,,,,,,,,,,
E02000592,Kensington and Chelsea,35,25,80,90,45,75,80,75,40,,,,,,,,,,
E02000593,Kensington and Chelsea,25,20,35,45,50,80,70,60,30,,,,,,,,,,
E02000594,Kensington and Chelsea,60,30,120,45,35,115,85,85,35,,,,,,,,,,
E02000595,Kensington and Chelsea,45,30,140,60,50,85,75,85,30,,,,,,,,,,
E02000596,Kensington and Chelsea,35,30,80,50,45,85,95,75,30,,,,,,,,,,
E02000597,Kensington and Chelsea,40,40,75,30,50,70,110,70,20,,,,,,,,,,
E02000598,Kingston upon Thames,30,25,20,5,95,75,55,40,25,,,,,,,,,,
E02000599,Kingston upon Thames,40,20,20,15,40,60,50,50,35,,,,,,,,,,
E02000600,Kingston upon Thames,35,15,30,15,90,55,70,35,35,,,,,,,,,,
E02000601,Kingston upon Thames,40,20,35,25,120,100,90,55,35,,,,,,,,,,
E02000602,Kingston upon Thames,45,20,40,35,85,65,85,60,30,,,,,,,,,,
E02000603,Kingston upon Thames,35,35,30,10,30,25,40,25,30,,,,,,,,,,
E02000604,Kingston upon Thames,35,25,60,45,70,55,80,70,25,,,,,,,,,,
E02000605,Kingston upon Thames,35,40,35,10,65,55,65,40,35,,,,,,,,,,
E02000606,Kingston upon Thames,45,50,280,150,145,110,130,120,65,,,,,,,,,,
E02000607,Kingston upon Thames,35,20,10,5,70,45,50,35,10,,,,,,,,,,
E02000608,Kingston upon Thames,25,20,70,55,105,90,115,65,30,,,,,,,,,,
E02000609,Kingston upon Thames,35,10,25,15,40,25,40,30,25,,,,,,,,,,
E02000610,Kingston upon Thames,30,15,30,20,75,45,70,40,35,,,,,,,,,,
E02000611,Kingston upon Thames,45,15,20,5,50,25,40,30,20,,,,,,,,,,
E02000612,Kingston upon Thames,50,15,20,10,40,50,60,35,35,,,,,,,,,,
E02000613,Kingston upon Thames,40,25,30,15,70,55,65,40,25,,,,,,,,,,
E02000614,Kingston upon Thames,80,75,70,30,75,45,55,55,20,,,,,,,,,,
E02000615,Kingston upon Thames,70,25,35,25,30,15,30,35,10,,,,,,,,,,
E02000616,Kingston upon Thames,40,20,10,5,30,15,15,25,10,,,,,,,,,,
E02000617,Kingston upon Thames,75,40,20,20,30,10,35,25,20,,,,,,,,,,
E02000619,Lambeth,35,15,20,25,60,50,60,45,40,,,,,,,,,,
E02000620,Lambeth,25,15,45,60,110,65,75,85,35,,,,,,,,,,
E02000621,Lambeth,50,35,50,65,120,100,110,90,40,,,,,,,,,,
E02000622,Lambeth,25,20,25,30,80,55,85,60,35,,,,,,,,,,
E02000623,Lambeth,15,10,15,15,35,25,35,20,20,,,,,,,,,,
E02000624,Lambeth,10,10,15,20,60,30,40,30,30,,,,,,,,,,
E02000625,Lambeth,20,15,30,30,35,30,30,35,25,,,,,,,,,,
E02000626,Lambeth,20,15,15,10,25,15,40,25,25,,,,,,,,,,
E02000627,Lambeth,20,10,25,30,55,35,70,35,35,,,,,,,,,,
E02000628,Lambeth,30,20,100,75,70,30,60,80,45,,,,,,,,,,
E02000629,Lambeth,45,35,40,50,80,85,120,70,35,,,,,,,,,,
E02000630,Lambeth,30,15,45,35,100,80,115,60,30,,,,,,,,,,
E02000631,Lambeth,25,25,30,25,60,50,55,40,45,,,,,,,,,,
E02000632,Lambeth,25,20,30,15,110,65,115,50,40,,,,,,,,,,
E02000633,Lambeth,20,15,50,35,95,45,75,45,35,,,,,,,,,,
E02000634,Lambeth,15,15,25,65,55,35,65,25,30,,,,,,,,,,
E02000635,Lambeth,20,15,40,35,100,40,75,50,30,,,,,,,,,,
E02000636,Lambeth,20,5,15,20,85,80,85,55,25,,,,,,,,,,
E02000637,Lambeth,25,5,25,20,75,40,85,35,30,,,,,,,,,,
E02000638,Lambeth,25,20,35,15,50,30,55,35,30,,,,,,,,,,
E02000639,Lambeth,20,5,20,5,20,15,25,30,20,,,,,,,,,,
E02000640,Lambeth,30,15,20,10,95,60,65,40,30,,,,,,,,,,
E02000641,Lambeth,20,5,10,10,25,15,25,25,15,,,,,,,,,,
E02000642,Lambeth,30,15,25,25,65,45,70,30,30,,,,,,,,,,
E02000643,Lambeth,25,10,30,15,60,40,60,35,30,,,,,,,,,,
E02000644,Lambeth,25,20,30,15,60,35,50,40,20,,,,,,,,,,
E02000645,Lambeth,40,35,50,45,75,60,75,55,50,,,,,,,,,,
E02000646,Lambeth,40,10,75,45,70,50,70,50,45,,,,,,,,,,
E02000647,Lambeth,30,15,15,5,50,30,35,25,20,,,,,,,,,,
E02000648,Lambeth,30,0,15,10,30,10,25,20,15,,,,,,,,,,
E02000649,Lambeth,65,15,50,40,80,45,70,55,35,,,,,,,,,,
E02000650,Lambeth,25,10,20,25,55,25,40,25,15,,,,,,,,,,
E02000651,Lambeth,40,15,35,20,45,30,55,40,30,,,,,,,,,,
E02000652,Lambeth,40,5,10,10,25,15,15,30,15,,,,,,,,,,
E02006801,Lambeth,50,40,100,180,150,160,130,605,70,,,,,,,,,,
E02000653,Lewisham,20,5,15,5,60,45,40,20,20,,,,,,,,,,
E02000654,Lewisham,25,30,25,25,10,15,25,20,25,,,,,,,,,,
E02000655,Lewisham,35,35,30,15,35,15,30,35,20,,,,,,,,,,
E02000657,Lewisham,25,20,30,45,50,30,50,30,30,,,,,,,,,,
E02000658,Lewisham,10,10,25,15,45,30,40,25,20,,,,,,,,,,
E02000659,Lewisham,20,5,15,5,65,65,45,40,30,,,,,,,,,,
E02000660,Lewisham,15,10,20,25,75,60,60,35,15,,,,,,,,,,
E02000661,Lewisham,25,15,45,45,50,55,55,35,25,,,,,,,,,,
E02000662,Lewisham,25,5,15,5,50,25,45,30,30,,,,,,,,,,
E02000663,Lewisham,10,5,25,5,50,35,30,25,15,,,,,,,,,,
E02000664,Lewisham,35,20,130,55,90,55,70,45,45,,,,,,,,,,
E02000665,Lewisham,20,10,25,25,60,40,55,35,20,,,,,,,,,,
E02000666,Lewisham,25,5,20,20,40,20,25,25,20,,,,,,,,,,
E02000667,Lewisham,30,5,20,20,45,25,50,30,15,,,,,,,,,,
E02000668,Lewisham,30,25,25,20,60,30,25,25,25,,,,,,,,,,
E02000669,Lewisham,25,15,25,20,55,25,40,30,30,,,,,,,,,,
E02000670,Lewisham,20,10,15,10,15,15,15,20,20,,,,,,,,,,
E02000671,Lewisham,35,30,30,45,75,35,55,35,30,,,,,,,,,,
E02000672,Lewisham,25,10,65,35,40,15,30,40,50,,,,,,,,,,
E02000673,Lewisham,15,5,35,25,70,35,65,30,30,,,,,,,,,,
E02000674,Lewisham,35,5,10,5,35,20,40,25,20,,,,,,,,,,
E02000675,Lewisham,65,5,15,15,40,30,35,25,20,,,,,,,,,,
E02000676,Lewisham,25,0,15,10,65,25,35,30,25,,,,,,,,,,
E02000677,Lewisham,25,15,25,20,50,25,40,30,55,,,,,,,,,,
E02000678,Lewisham,20,10,10,5,15,5,10,15,15,,,,,,,,,,
E02000679,Lewisham,25,5,20,10,40,30,35,25,35,,,,,,,,,,
E02000680,Lewisham,20,15,15,20,40,25,25,20,15,,,,,,,,,,
E02000681,Lewisham,30,20,25,25,25,10,25,20,35,,,,,,,,,,
E02000682,Lewisham,45,10,10,10,15,5,15,20,25,,,,,,,,,,
E02000683,Lewisham,30,5,10,10,15,15,25,10,20,,,,,,,,,,
E02000685,Lewisham,30,5,25,10,45,30,45,30,25,,,,,,,,,,
E02000686,Lewisham,30,15,20,10,20,5,20,15,10,,,,,,,,,,
E02000687,Lewisham,35,15,35,25,45,35,35,35,25,,,,,,,,,,
E02006783,Lewisham,30,5,20,15,10,5,15,5,20,,,,,,,,,,
E02006784,Lewisham,45,10,30,20,20,10,20,15,15,,,,,,,,,,
E02006798,Lewisham,15,15,65,50,35,15,40,40,35,,,,,,,,,,
E02000689,Merton,50,60,45,25,95,90,85,85,20,,,,,,,,,,
E02000690,Merton,40,15,25,20,35,85,80,30,30,,,,,,,,,,
E02000691,Merton,45,20,95,60,75,90,100,70,45,,,,,,,,,,
E02000692,Merton,55,30,95,45,120,135,125,120,50,,,,,,,,,,
E02000693,Merton,75,25,45,30,115,55,75,45,25,,,,,,,,,,
E02000694,Merton,50,25,30,25,100,95,105,55,30,,,,,,,,,,
E02000695,Merton,45,20,20,15,35,25,30,40,15,,,,,,,,,,
E02000696,Merton,80,35,40,20,50,40,75,165,10,,,,,,,,,,
E02000697,Merton,65,70,70,35,140,175,130,130,40,,,,,,,,,,
E02000698,Merton,30,15,15,10,70,100,75,45,30,,,,,,,,,,
E02000699,Merton,30,10,20,10,90,80,70,30,25,,,,,,,,,,
E02000700,Merton,75,55,35,15,115,55,55,75,25,,,,,,,,,,
E02000701,Merton,60,20,30,25,25,10,25,25,30,,,,,,,,,,
E02000702,Merton,35,10,10,15,30,10,10,10,20,,,,,,,,,,
E02000703,Merton,60,25,20,10,80,75,70,35,25,,,,,,,,,,
E02000704,Merton,70,45,55,35,95,75,100,50,35,,,,,,,,,,
E02000705,Merton,65,10,25,15,35,25,30,25,20,,,,,,,,,,
E02000706,Merton,50,20,40,10,25,20,25,35,25,,,,,,,,,,
E02000707,Merton,25,5,10,5,15,5,10,20,25,,,,,,,,,,
E02000708,Merton,50,25,45,10,70,40,55,35,25,,,,,,,,,,
E02000709,Merton,60,5,15,5,45,25,35,25,15,,,,,,,,,,
E02000710,Merton,110,90,35,15,35,25,45,65,65,,,,,,,,,,
E02000711,Merton,75,30,60,40,50,25,65,45,40,,,,,,,,,,
E02000712,Merton,65,15,15,10,25,20,35,50,65,,,,,,,,,,
E02000713,Merton,60,30,20,10,30,15,20,15,15,,,,,,,,,,
E02000714,Newham,45,25,35,15,30,20,25,25,25,,,,,,,,,,
E02000715,Newham,25,20,15,10,10,10,15,15,10,,,,,,,,,,
E02000716,Newham,35,10,25,15,20,15,20,30,15,,,,,,,,,,
E02000717,Newham,40,35,55,20,30,15,20,30,30,,,,,,,,,,
E02000718,Newham,20,10,10,0,25,10,10,15,10,,,,,,,,,,
E02000719,Newham,55,5,25,5,25,25,20,35,30,,,,,,,,,,
E02000720,Newham,35,20,30,10,25,15,20,25,10,,,,,,,,,,
E02000721,Newham,35,40,70,35,35,15,40,60,20,,,,,,,,,,
E02000722,Newham,55,10,15,10,35,30,25,35,30,,,,,,,,,,
E02000723,Newham,45,30,40,25,65,20,40,40,20,,,,,,,,,,
E02000724,Newham,25,15,20,10,35,10,15,15,20,,,,,,,,,,
E02000725,Newham,65,45,140,65,70,55,420,925,80,,,,,,,,,,
E02000726,Newham,80,55,205,90,145,80,110,100,45,,,,,,,,,,
E02000727,Newham,35,35,85,20,45,20,35,25,20,,,,,,,,,,
E02000728,Newham,25,10,15,5,45,10,15,25,5,,,,,,,,,,
E02000729,Newham,50,10,10,15,15,15,25,20,15,,,,,,,,,,
E02000730,Newham,20,25,100,10,40,15,20,35,20,,,,,,,,,,
E02000731,Newham,25,20,125,35,65,15,45,35,30,,,,,,,,,,
E02000732,Newham,25,10,35,10,30,10,20,15,15,,,,,,,,,,
E02000733,Newham,40,5,20,10,30,25,30,25,10,,,,,,,,,,
E02000734,Newham,25,15,25,10,20,10,10,15,10,,,,,,,,,,
E02000735,Newham,35,10,40,10,10,15,20,25,20,,,,,,,,,,
E02000736,Newham,30,10,20,15,15,10,15,20,20,,,,,,,,,,
E02000737,Newham,40,10,25,5,25,10,15,20,20,,,,,,,,,,
E02000738,Newham,45,10,35,15,20,10,30,25,15,,,,,,,,,,
E02000739,Newham,40,10,25,10,15,5,15,20,25,,,,,,,,,,
E02000740,Newham,45,20,10,5,25,10,15,30,20,,,,,,,,,,
E02000741,Newham,35,15,20,10,25,10,15,30,25,,,,,,,,,,
E02000742,Newham,45,10,20,10,15,5,20,15,15,,,,,,,,,,
E02000743,Newham,25,20,55,40,25,20,25,25,30,,,,,,,,,,
E02000744,Newham,70,10,20,20,15,10,20,15,25,,,,,,,,,,
E02000745,Newham,65,15,15,0,30,25,25,25,20,,,,,,,,,,
E02000746,Newham,60,35,75,25,40,20,25,40,30,,,,,,,,,,
E02000747,Newham,60,40,35,35,105,70,45,55,25,,,,,,,,,,
E02000748,Newham,105,10,15,5,40,15,20,25,20,,,,,,,,,,
E02000749,Newham,60,15,25,20,25,20,25,40,40,,,,,,,,,,
E02000750,Newham,75,40,45,40,145,75,90,75,40,,,,,,,,,,
E02000751,Redbridge,85,30,45,30,75,75,100,65,50,,,,,,,,,,
E02000752,Redbridge,90,65,35,15,35,15,30,35,25,,,,,,,,,,
E02000753,Redbridge,55,5,15,5,25,15,20,20,20,,,,,,,,,,
E02000754,Redbridge,65,20,15,10,35,25,30,30,15,,,,,,,,,,
E02000755,Redbridge,65,15,15,20,30,15,25,20,15,,,,,,,,,,
E02000756,Redbridge,125,45,60,30,80,45,65,55,40,,,,,,,,,,
E02000757,Redbridge,115,50,80,55,130,100,125,85,65,,,,,,,,,,
E02000758,Redbridge,35,15,20,5,25,15,25,20,20,,,,,,,,,,
E02000759,Redbridge,125,35,45,20,90,60,65,50,45,,,,,,,,,,
E02000760,Redbridge,45,10,40,20,35,15,25,20,25,,,,,,,,,,
E02000762,Redbridge,35,15,30,20,55,30,50,30,35,,,,,,,,,,
E02000763,Redbridge,35,20,20,5,70,20,45,30,25,,,,,,,,,,
E02000764,Redbridge,80,20,50,40,105,80,100,65,50,,,,,,,,,,
E02000765,Redbridge,30,20,35,25,65,40,40,25,15,,,,,,,,,,
E02000767,Redbridge,65,15,20,10,80,25,40,25,25,,,,,,,,,,
E02000768,Redbridge,20,10,5,5,35,40,35,20,20,,,,,,,,,,
E02000769,Redbridge,90,30,40,20,95,45,55,35,45,,,,,,,,,,
E02000770,Redbridge,50,15,25,10,35,25,45,15,20,,,,,,,,,,
E02000772,Redbridge,45,15,40,20,85,35,95,45,65,,,,,,,,,,
E02000773,Redbridge,60,25,40,15,110,45,60,35,40,,,,,,,,,,
E02000774,Redbridge,50,25,45,15,30,25,20,25,25,,,,,,,,,,
E02000776,Redbridge,35,25,20,15,55,25,50,30,30,,,,,,,,,,
E02000777,Redbridge,30,10,10,5,35,35,30,25,15,,,,,,,,,,
E02000779,Redbridge,95,35,90,45,85,35,75,60,40,,,,,,,,,,
E02000780,Redbridge,80,50,175,65,150,55,80,85,70,,,,,,,,,,
E02000781,Redbridge,75,30,50,10,75,30,55,45,45,,,,,,,,,,
E02000782,Redbridge,30,20,65,25,60,20,35,35,35,,,,,,,,,,
E02000783,Redbridge,15,25,25,5,25,15,20,25,15,,,,,,,,,,
E02006800,Redbridge,85,40,55,20,105,40,70,45,50,,,,,,,,,,
E02006924,Redbridge,70,40,40,30,95,55,60,45,50,,,,,,,,,,
E02006925,Redbridge,90,60,45,20,120,65,95,90,55,,,,,,,,,,
E02000784,Richmond upon Thames,25,15,45,30,90,105,90,75,35,,,,,,,,,,
E02000785,Richmond upon Thames,30,30,65,45,125,125,120,65,45,,,,,,,,,,
E02000786,Richmond upon Thames,35,35,40,30,140,145,150,85,40,,,,,,,,,,
E02000787,Richmond upon Thames,40,25,35,15,135,155,105,75,40,,,,,,,,,,
E02000788,Richmond upon Thames,45,25,90,50,95,105,115,80,45,,,,,,,,,,
E02000789,Richmond upon Thames,30,15,25,15,100,95,75,30,35,,,,,,,,,,
E02000790,Richmond upon Thames,20,15,40,20,100,105,60,50,10,,,,,,,,,,
E02000791,Richmond upon Thames,60,40,175,100,180,185,160,130,50,,,,,,,,,,
E02000792,Richmond upon Thames,20,10,40,15,120,95,85,40,35,,,,,,,,,,
E02000793,Richmond upon Thames,40,15,55,30,60,35,50,35,25,,,,,,,,,,
E02000794,Richmond upon Thames,35,10,5,10,70,75,50,35,25,,,,,,,,,,
E02000795,Richmond upon Thames,25,15,30,25,70,70,70,45,20,,,,,,,,,,
E02000796,Richmond upon Thames,50,15,20,10,45,40,40,50,30,,,,,,,,,,
E02000797,Richmond upon Thames,45,40,90,85,130,95,135,85,50,,,,,,,,,,
E02000798,Richmond upon Thames,45,20,40,15,95,55,75,65,35,,,,,,,,,,
E02000799,Richmond upon Thames,15,15,20,20,65,75,55,35,10,,,,,,,,,,
E02000800,Richmond upon Thames,15,10,15,5,40,20,25,15,10,,,,,,,,,,
E02000801,Richmond upon Thames,25,25,25,25,135,90,95,40,25,,,,,,,,,,
E02000802,Richmond upon Thames,45,25,45,25,70,65,75,65,25,,,,,,,,,,
E02000803,Richmond upon Thames,30,15,15,10,50,45,60,30,25,,,,,,,,,,
E02000804,Richmond upon Thames,40,30,65,50,115,105,85,55,35,,,,,,,,,,
E02000805,Richmond upon Thames,50,25,35,30,130,115,130,65,35,,,,,,,,,,
E02000806,Richmond upon Thames,60,40,45,30,100,105,120,70,40,,,,,,,,,,
E02000807,Southwark,25,10,5,10,115,85,60,35,20,,,,,,,,,,
E02000808,Southwark,160,100,135,235,450,335,485,395,150,,,,,,,,,,
